"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LegalKant: Don't blame Google play store

Nothing stops Indians developers to create versions of Google, @TwitterIndia @Facebook @TikTo…",FALSE,0,NA,2020-06-02 23:50:55,FALSE,NA,"1267966960635166721",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dqrius97aiR",3,TRUE,FALSE,NA,NA
"2","For the All weather ally
#BoycottMadeInChina
#BoycottChineseProduct 
#BoycottChina 
https://t.co/uTLrCWge5H",FALSE,1,NA,2020-06-02 23:49:48,FALSE,NA,"1267966677477711874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anandhkriss",0,FALSE,FALSE,NA,NA
"3","RT @Mynation_BH: @love_a_man @MyNation_net @MensDayOutIndia @rashtrapatibhvn @narendramodi @RahulGandhi @rsprasad @RajThakre09 @ThakreUddha…",FALSE,0,NA,2020-06-02 23:45:17,FALSE,NA,"1267965541634813952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prem_MyNation",24,TRUE,FALSE,NA,NA
"4","RT @MODIfiedVikas: I found this app 'Remove China App' really useful. It scans and removes any Chinese app. Remember, each Chinese app is s…",FALSE,0,NA,2020-06-02 23:44:11,FALSE,NA,"1267965263997136896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NeerGopal",3147,TRUE,FALSE,NA,NA
"5","RT @MODIfiedVikas: Best thing that 'Remove China App' itself is Indian! #BoycottMadeInChina https://t.co/mTefzcsLf0",FALSE,0,NA,2020-06-02 23:44:08,FALSE,NA,"1267965253645504512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NeerGopal",430,TRUE,FALSE,NA,NA
"6","Don't know whether this conversation took place but quote of @Wangchuk66 is 100% true and have a concrete base. It… https://t.co/ZANQ1bJWpF",FALSE,4,NA,2020-06-02 23:41:34,TRUE,NA,"1267964608406577153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ManishKumarBok1",0,FALSE,FALSE,NA,NA
"7","Our trade deficit with China in 2019 was $60billion,and the worth of whole China Pakistan economic corridor  was $6… https://t.co/qxXvlIPrXR",FALSE,0,NA,2020-06-02 23:41:19,TRUE,NA,"1267964542124011521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AbhayVe41654183",0,FALSE,FALSE,NA,NA
"8","RT @HumorousHack: Are you willing to #BoycottMadeInChina products? I am :)

May be it will make our life a bit difficult but the pride, sov…",FALSE,0,NA,2020-06-02 23:33:19,FALSE,NA,"1267962528350568448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArchiverAlok",504,TRUE,FALSE,NA,NA
"9","Sometimes you have to stand alone just to prove that you can still stand.
.
.
.
.
.
. #BoycottMadeInChina #bloggers… https://t.co/bnPEsBQcQ8",FALSE,3,NA,2020-06-02 23:32:29,TRUE,NA,"1267962320405188608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aagaman_mn555",0,FALSE,FALSE,NA,NA
"10","RT @Wangchuk66: USE YOUR WALLET POWER
#BoycottMadeInChina #SoftwareInAWeekHardwareInAYear to stop Chinese bullying in Ladakh &amp; eventually t…",FALSE,0,NA,2020-06-02 23:31:36,FALSE,NA,"1267962098732032000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raghu_oz",16229,TRUE,FALSE,NA,NA
"11","RT @LegalKant: Be it electronic products, mobile phone, or home appliances

The first step to #BoycottMadeInChina is a boycott of Chinese b…",FALSE,0,NA,2020-06-02 23:31:10,FALSE,NA,"1267961988858200077",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiAltoK10",677,TRUE,FALSE,NA,NA
"12","@MGMotorIn #BoycottMadeInChina this is a Chinese owned company",FALSE,0,"MGMotorIn",2020-06-02 23:29:06,FALSE,"1267358767554850819","1267961470278565889","1132981568207613953","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raghurao18",0,FALSE,FALSE,NA,NA
"13","RT @Saadia_Sattar_: IndianArmy gets bulletproof jackets from China due to price advantage....

Meanwhile, ironically they are trending #Boy…",FALSE,0,NA,2020-06-02 23:26:12,FALSE,NA,"1267960739165138947",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunsetcruiser08",45,TRUE,FALSE,NA,NA
"14","RT @vijaymendon: First Cancel #Oppo sponsorship of Cricket #TeamIndia . Then stop Using Tiktok by #celebrities &amp; last stop Playing #PUBG #P…",FALSE,0,NA,2020-06-02 23:24:54,FALSE,NA,"1267960413053837313",NA,"<a href=""http://decotiismauro.ml"" rel=""nofollow"">Twitcher_jtn</a>","Jimmy_the_Newb",1,TRUE,FALSE,NA,NA
"15","RT @Wangchuk66: USE YOUR WALLET POWER
#BoycottMadeInChina #SoftwareInAWeekHardwareInAYear to stop Chinese bullying in Ladakh &amp; eventually t…",FALSE,0,NA,2020-06-02 23:20:33,FALSE,NA,"1267959316578996229",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shubhan58532771",16229,TRUE,FALSE,NA,NA
"16","Now That's More Like It... #RemoveChinaApps #BoycottMadeInChina #BoycottChina #BoycottChineseProduct #XiJingping In… https://t.co/nqF9CaBYyL",FALSE,0,NA,2020-06-02 23:09:14,TRUE,NA,"1267956468667396097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pirateprakhar",0,FALSE,FALSE,NA,NA
"17","RT @rahulkanwal: Should Indians rally around the #BoycottMadeInChina call? Will India be able to manage without Chinese products? What do w…",FALSE,0,NA,2020-06-02 23:07:18,FALSE,NA,"1267955981410988032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","varundatta2381",17,TRUE,FALSE,NA,NA
"18","RT @LemiIIion10: #RemoveChinaApps #BoycottChineseProducts #BoycottMadeInChina 
These apps are the best alternative of Chinese app currently…",FALSE,0,NA,2020-06-02 23:05:28,FALSE,NA,"1267955521199509513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amibajpal",1,TRUE,FALSE,NA,NA
"19","RT @Shanice3195: Set aside 9 minutes of your time and watch this today! #BoycottMadeInChina 
https://t.co/wjCMyoSYyS https://t.co/hlETX0myJI",FALSE,0,NA,2020-06-02 23:04:49,FALSE,NA,"1267955358531612672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VamsiKr23437441",195,TRUE,FALSE,NA,NA
"20","RT @iJayGore: #BoycottMadeInChina 

Software in a week,
Hardware in a year,

starting today...

#BoycottChineseProducts https://t.co/7bHQqk…",FALSE,0,NA,2020-06-02 23:04:34,FALSE,NA,"1267955295101177861",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VamsiKr23437441",151,TRUE,FALSE,NA,NA
"21","RT @satendras601: #BoycottMadeInChina 

Use alternative of Chines product https://t.co/ZOlaNbvGkh",FALSE,0,NA,2020-06-02 23:04:17,FALSE,NA,"1267955225966469120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VamsiKr23437441",72,TRUE,FALSE,NA,NA
"22","RT @ReshmaRanaHr: #BoycottMadeInChina
Software with in week
Hardware with in a year
Be a part of change<U+0001F64F><U+0001F3FB><U+0001F6A9> https://t.co/sZ2uWvTdTu",FALSE,0,NA,2020-06-02 23:03:12,FALSE,NA,"1267954950371328000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VamsiKr23437441",124,TRUE,FALSE,NA,NA
"23","RT @SouravMsd: @NorbertElekes no need this app ..one can uninstall chinese app by yourself...if anyone don't know which app is chinese then…",FALSE,0,NA,2020-06-02 22:56:52,FALSE,NA,"1267953356431151105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobinKasana",6,TRUE,FALSE,NA,NA
"24","RT @GaneshJaiHind: Tibet belongs to China

Arunachal belongs to China

Sikkim belongs to China

Hong Kong belongs to China

Taiwan belongs…",FALSE,0,NA,2020-06-02 22:56:24,FALSE,NA,"1267953239649116161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dee45490051",1187,TRUE,FALSE,NA,NA
